Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,Is Risk Adjusted 
"Values:  Quality, QCDR ",,,,,,,** Comma delimited list  **,,"

Values:  Efficiency, Intermediate Outcome, Outcome, Patient Engagement/Experience, Patient Reported Outcome, Patient-Reported Outcome-Based Performance Measure, Process, Structure","Values: Y, N",,Enter current PY if measure is to be removed,"** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values: Allergy/ Immunology, Anesthesiology, Audiology, Cardiology, Certified Nurse Midwife, Chiropractic Medicine, Clinical Social Work, Dentistry, Dermatology, Diagnostic Radiology, Electro-physiology Cardiac Specialist, Emergency Medicine, Endocrinology, Family Medicine, Gastro-enterology, General Surgery, Geriatrics, Hospitalists, Infectious Disease, Internal Medicine, Interventional Radiology, Mental/Behavioral Health and Psychiatry, Nephrology, Neurology, Neurosurgical, Nutrition/ Dietician, Obstetrics/
Gynecology, Oncology/ Hematology, Ophthalmology/Optometry, Orthopedic Surgery, Otolaryngology, Pathology, Pediatrics, Physical Medicine, Physical Therapy/ Occupational Therapy, Plastic 
Surgery, Podiatry, Preventive Medicine, Pulmonology, Radiation Oncology, Rheumatology, Skilled Nursing Facility, Speech Language Pathology, Thoracic Surgery, Urgent Care, Urology, Vascular Surgery","Values: Y, N","Values: singlePerformanceRate, multiPerformanceRate, nonProportion, costScore","Values: weightedAverage, simpleAverage, overallStratumOnly, split","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","Values:  Y, N"
QCDR,,,,,ABG42,"ABG QCDR in Collaboration with Insight Medical Data Service, LLC",,,,,,,,,,,,,,,
QCDR,,,,,ABG44,"ABG QCDR in Collaboration with Insight Medical Data Service, LLC",,,,,,,,,,,,,,,
QCDR ,,,,,IRIS1,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight) in Collaboration with Verana Health,,,,,,,,,,,,,,,
QCDR ,,,,,IRIS13,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight) in Collaboration with Verana Health,,,,,,,,,,,,,,,
QCDR ,,,,,IRIS17,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight) in Collaboration with Verana Health,,,,,,,,,,,,,,,
QCDR ,,,,,IRIS2,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight) in Collaboration with Verana Health,,,,,,,,,,,,,,,
QCDR ,,,,,IRIS23,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight) in Collaboration with Verana Health,,,,,,,,,,,,,,,
QCDR ,,,,,IRIS24,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight) in Collaboration with Verana Health,,,,,,,,,,,,,,,
QCDR ,,,,,IRIS35,American Academy of Ophthalmology IRIS® Registry (Intelligent Research in Sight) in Collaboration with Verana Health,,,,,,,,,,,,,,,
