measureId,stratumName,description
009,84Days,Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). 
009,180Days,Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months).
052,spirometry,Percentage of patients aged 18 years and older with a diagnosis of COPD who have a documented airflow obstruction (FEV1/FVC < 70%) as measured by spirometry.
052,bronchodilator,"Percentage of patients aged 18 years and older with a diagnosis of COPD who have a documented airflow obstruction (FEV1/FVC < 70%) and are symptomatic, who were prescribed a long-acting inhaled bronchodilator."
226,reporting,Patients aged 12 years and older who were screened for tobacco use
226,performance,Patients aged 12 years and older who were identified as a tobacco user during the measurement period and who received tobacco cessation intervention during the measurement period or in the six months prior to the measurement period
226,combinedPopulations,"Patients aged 12 years and older who were screened for tobacco use and, if identified as a tobacco user received tobacco cessation intervention during the measurement period or in the six months prior to the measurement period, or identified as a tobacco non-user"
238,overall,Percentage of patients 65 years of age and older who were ordered at least two high-risk medications from the same drug class.
238,appropriateDiagnosis,"Percentage of patients 65 years of age and older who were ordered at least two high-risk medications from the same drug class, except for appropriate diagnoses."
238,totalRate,"Total rate (the sum of the two numerators divided by the denominator, deduplicating for patients in both numerators)."
239,percentiles,"Percentage of patients with height, weight, and body mass index (BMI) percentile documentation."
239,nutrition,Percentage of patients with counseling for nutrition.
239,physicalActivity,Percentage of patients with counseling for physical activity.
305,14Days,"Percentage of patients who initiated treatment, including either an intervention or medication for the treatment of SUD, within 14 days of the new SUD episode."
305,34Days,"Percentage of patients who engaged in ongoing treatment, including two additional interventions or short-term medications, or one long-term medication for the treatment of SUD, within 34 days of the initiation."
366,30Days,Percentage of children who had one follow-up visit with a practitioner with prescribing authority during the 30-Day Initiation Phase.
366,overall,"Percentage of children who remained on ADHD medication for at least 210 days and who, in addition to the visit in the Initiation Phase, had at least two additional follow-up visits with a practitioner within 270 days (9 months) after the Initiation Phase ended."
370,adolescents,Percentage of adolescent patients (aged 12-17 years) with a diagnosis of major depression or dysthymia and an initial PHQ-9 or PHQ-9M score greater than nine during the index event who reached remission at twelve months as demonstrated by a twelve month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5
370,adults,Percentage of adult patients (aged 18 years or older) with a diagnosis of major depression or dysthymia and an initial PHQ-9 or PHQ-9M score greater than nine during the index event who reached remission at twelve months as demonstrated by a twelve month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5
392,female18-64,Females 18-64 years of age
392,male18-64,Males 18-64 years of age
392,female65+,Females 65 years of age and older
392,male65+,Males 65 years of age and older
