measureId,stratumName,description
AAD14,examPerformed,NUMERATOR CRITERIA 1: Documentation by the provider who performed the surgery that an exam for recurrence of melanoma was performed on the patient within the reporting period.
AAD14,overall,NUMERATOR CRITERIA 2: All patients that were diagnosed with a recurrent melanoma in the current reporting year.
AAD16,resection,Strata 1: Intermediate layer or complex linear closures after skin cancer resection
AAD16,reconstruction,Strata 2: Reconstruction after skin cancer resection
AAD16,overall,"Strata 3: Strata 1 + Strata 2; Calculate as (numerator 1 + numerator 2 )/(denominator 1 + denominator 2), not the average of the performance rates"
AAD17,resection,Strata 1: Intermediate layer or complex linear closures after skin cancer resection
AAD17,reconstruction,Strata 2: Reconstruction after skin cancer resection
AAD17,overall,"Strata 3: Strata 1 + Strata 2; Calculate as (numerator 1 + numerator 2 )/(denominator 1 + denominator 2), not the average of the performance rates"
AAD18,resection,Strata 1: Intermediate layer or complex linear closures after skin cancer resection
AAD18,reconstruction,Strata 2: Reconstruction after skin cancer resection
AAD18,overall,"Strata 3: Strata 1 + Strata 2; Calculate as (numerator 1 + numerator 2 )/(denominator 1 + denominator 2), not the average of the performance rates"
ACRAD34,abdomen,Percent of CT Abdomen-pelvis exams with contrast (single phase scan) for which Dose Length Product is at or below the size-specific diagnostic reference level
ACRAD34,chest,Percent of CT Chest exams without contrast (single phase scan) for which Dose Length Product is at or below the size-specific diagnostic reference level
ACRAD34,head,Percent of CT Head/brain exams without contrast (single phase scan) for which Dose Length Product is at or below the size-specific diagnostic reference level
AJRR11,neckpain,"Percentage of denominator patients who showed a statistically significant improvement in comparison to initial assessment, measured by minimum clinically important difference (MCID), in neck pain."
AJRR11,backpain,"Percentage of denominator patients who showed a statistically significant improvement in comparison to initial assessment, measured by minimum clinically important difference (MCID), in back pain."
AJRR11,armpain,"Percentage of denominator patients who showed a statistically significant improvement in comparison to initial assessment, measured by minimum clinically important difference (MCID), in arm pain."
AJRR11,legpain,"Percentage of denominator patients who showed a statistically significant improvement in comparison to initial assessment, measured by minimum clinically important difference (MCID) in leg pain."
AJRR7,hip,represents total hip arthroplasty
AJRR7,knee,represents total knee arthroplasty.
