measureId,stratumName,shortDescription,longDescription,initialPopulationUuid,denominatorUuid,numeratorUuid,denominatorExclusionUUID,denominatorExceptionUUID
,,,,,,,,
,,,,,,,,
7,LVSD,LVEF prescribed beta-blocker therapy,Percentage of patients with a diagnosis of CAD or history of cardiac surgery who have a current or prior LVEF < 40% who were prescribed beta-blocker therapy,,,B0B86C82-753C-41B6-ABC0-C40605738B19,,
7,priorMI,Prior MI prescribed beta-blocker therapy,Percentage of patients with a diagnosis of CAD or history of cardiac surgery who have a prior (within the past 3 years) myocardial infarction who were prescribed beta-blocker therapy,,,8C4B62DB-A300-4FAC-ACE1-9DBADC125338,,
9,>=84Days,Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). ,Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks). ,,,E93F4D1A-F0BD-4F3E-A731-7F569B2467CB,,
9,>=180Days,Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months),Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months),,,731C990A-340C-49D4-A87B-A7C3B839860D,,
46,18-64,Med Rec 18 - 64 years and older,Medication Reconciliation Post-Discharge: 18-64 years of age,,,,,
46,65+,Med Rec 65 years and older,Medication Reconciliation Post-Discharge: 65 years and older,,,,,
46,overall,Med Rec all patients 18 years and older,Medication Reconciliation Post-Discharge:All patients 18 years of age and older,,,,,
160,CD4<200/mm3,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis within 3 months of CD4 count below 200 cells/mm3,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis within 3 months of CD4 count below 200 cells/mm3,,,1C3A2E69-608E-4223-91F1-B17856C5DF3F,,
160,CD4<500/mm3OrCD4<15%,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis within 3 months of CD4 count below 500 cells/mm3 or a CD4 percentage below 15%,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis within 3 months of CD4 count below 500 cells/mm3 or a CD4 percentage below 15%,,,EF777C94-7CA0-4894-A06B-7E64F6027A4C,,
160,atDiagnosis,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis at the time of diagnosis of HIV,Patients who were prescribed Pneumocystis jiroveci pneumonia (PCP) prophylaxis at the time of diagnosis of HIV,,,56360B75-89AA-416C-AD4A-6E38FF0EE138,,
226,screenedForUse,Patients screened for tobacco use one or more times,Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within 24 months  ,,,1356052C-4C82-4859-85B4-D04ACF269564,,
226,overall,"Screened for tobacco, identified as tobacco user that received cessation.",Percentage of patients aged 18 years and older who were screened for tobacco use and identified as a tobacco user who received tobacco cessation intervention  ,,,D10D6789-32F2-4A72-9588-611C4765FC13,,
226,tobacco,Patients screened for tobacco use one or more times and received cessation,Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within 24 months AND who received tobacco cessation intervention if identified as a tobacco user ,,,98958164-44A0-4759-AF5C-86EFB56AF1BA,,
238,overall,Ordered at least one high-risk ,Percentage of patients who were ordered at least one high-risk medication,,,A5797141-A910-4FA0-8A5F-32FB348848A0,,
