measureName,eMeasureId,link
Adult Major Depressive Disorder (MDD): Suicide Risk Assessment,CMS161v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms161v9
Anti-depressant Medication Management,CMS128v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms128v9
Appropriate Testing for Pharyngitis,CMS146v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms146v9
Appropriate Treatment for Upper Respiratory Infection (URI),CMS154v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms154v9
Appropriate Use of DXA Scans in Women Under 65 Years Who Do Not Meet the Risk Factor Profile for Osteoporotic Fracture,CMS249v3,https://ecqi.healthit.gov/ecqm/ep/2021/cms249v3
Bone density evaluation for patients with prostate cancer and receiving androgen deprivation therapy,cms645v4,https://ecqi.healthit.gov/ecqm/ep/2021/cms645v4
Breast Cancer Screening,cms125v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms125v9
Cataracts: 20/40 or Better Visual Acuity within 90 Days Following Cataract Surgery,cms133v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms133v9
Cervical Cancer Screening,cms124v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms124v9
Child and Adolescent Major Depressive Disorder (MDD): Suicide Risk Assessment,cms177v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms177v9
Childhood Immunization Status,cms117v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms117v9
Children Who Have Dental Decay or Cavities,cms075v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms075v9
Chlamydia Screening for Women,cms153v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms153v9
Closing the Referral Loop: Receipt of Specialist Report,cms050v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms050v9
Colorectal Cancer Screening,cms130v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms130v9
Controlling High Blood Pressure,cms165v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms165v9
Coronary Artery Disease (CAD): Beta-Blocker Therapy-Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF <40%),cms145v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms145v9
Dementia: Cognitive Assessment,cms149v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms149v9
Depression Remission at Twelve Months,CMS159v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms159v9
Diabetes: Eye Exam,CMS131v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms131v9
Diabetes: Hemoglobin A1c (HbA1c) Poor Control (> 9%),CMS122v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms122v9
Diabetes: Medical Attention for Nephropathy,CMS134v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms134v9
Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care,CMS142v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms142v9
Documentation of Current Medications in the Medical Record,CMS68v10,https://ecqi.healthit.gov/ecqm/ep/2021/cms068v10
Falls: Screening for Future Fall Risk,CMS139v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms139v9
Follow-Up Care for Children Prescribed ADHD Medication (ADD),CMS136v10,https://ecqi.healthit.gov/ecqm/ep/2021/cms136v10
Functional Status Assessment for Total Hip Replacement,CMS56v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms056v9
Functional Status Assessment for Total Knee Replacement,CMS66v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms066v9
Functional Status Assessments for Congestive Heart Failure,CMS90v10,https://ecqi.healthit.gov/ecqm/ep/2021/cms090v10
Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) or Angiotensin Receptor-Neprilysin Inhibitor (ARNI) Therapy for Left Ventricular Systolic Dysfunction (LVSD),CMS135v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms135v9
Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),CMS144v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms144v9
HIV Screening,CMS349v3,https://ecqi.healthit.gov/ecqm/ep/2021/cms349v3
Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,CMS137v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms137v9
Oncology: Medical and Radiation - Pain Intensity Quantified,CMS157v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms157v9
Pneumococcal Vaccination Status for Older Adults,CMS127v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms069v9
Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,CMS69v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms069v9
Preventive Care and Screening: Influenza Immunization,CMS147v10,https://ecqi.healthit.gov/ecqm/ep/2021/cms147v10
Preventive Care and Screening: Screening for Depression and Follow-Up Plan,CMS2v10,https://ecqi.healthit.gov/ecqm/ep/2021/cms002v10
Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,CMS22v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms022v9
Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,CMS138v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms138v9
"Primary Caries Prevention Intervention as Offered by Primary Care Providers, including Dentists",CMS74v10,https://ecqi.healthit.gov/ecqm/ep/2021/cms074v10
Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation,CMS143v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms143v9
Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,CMS129v10,https://ecqi.healthit.gov/ecqm/ep/2021/cms129v10
Statin Therapy for the Prevention and Treatment of Cardiovascular Disease,CMS347v4,https://ecqi.healthit.gov/ecqm/ep/2021/cms347v4
Urinary Symptom Score Change 6-12 Months After Diagnosis of Benign Prostatic Hyperplasia,CMS771v2,https://ecqi.healthit.gov/ecqm/ep/2021/cms771v2
Use of High-Risk Medications in Older Adults,CMS156v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms156v9
Weight Assessment and Counseling for Nutrition and Physical Activity for Children and Adolescents,CMS155v9,https://ecqi.healthit.gov/ecqm/ep/2021/cms155v9
