link,measureId
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresClinicalDataRegistryReporting.pdf,PI_PHCDRR_5
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresElectronicCaseReporting.pdf,PI_PHCDRR_3
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresEnablingExchangeUnderTEFCA.pdf,PI_HIE_6
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresEPrescribing.pdf,PI_EP_1
http://qpp.cms.gov//docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresHIEBi-DirectionalExchange.pdf,PI_HIE_5
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresImmunizationRegistryReporting.pdf,PI_PHCDRR_1
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresProvidePatientsElectronicAccess.pdf,PI_PEA_1
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresPublicHealthRegistryReporting.pdf,PI_PHCDRR_4
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresQueryofPrescriptionDrugMonitoringProgram.pdf,PI_EP_2
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresSafetyAssuranceFactorsforEHRResilience.pdf,PI_PPHI_2
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresSecurityRiskAnalysis.pdf,PI_PPHI_1
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresSupportElectronicReferralLoopsbySendingHealthInfo.pdf,PI_HIE_1
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresSupportElectronicReferralLoopsReceivingandReconcilling.pdf,PI_HIE_4
http://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2023MIPSPIMeasuresSyndromicSurveillanceReporting.pdf,PI_PHCDRR_2
