link,eMeasureId
https://ecqi.healthit.gov/ecqm/ec/2026/cms1056v3,CMS1056v3
https://ecqi.healthit.gov/ecqm/ec/2026/cms1154v1,CMS1154v1
https://ecqi.healthit.gov/ecqm/ec/2026/cms1157v2,CMS1157v2
https://ecqi.healthit.gov/ecqm/ec/2026/cms1173v1,CMS1173v1
https://ecqi.healthit.gov/ecqm/ec/2026/cms0117v14,CMS117v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms1188v3,CMS1188v3
https://ecqi.healthit.gov/ecqm/ec/2026/cms0122v14,CMS122v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0124v14,CMS124v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0125v14,CMS125v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0128v14,CMS128v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0129v14,CMS129v15
https://ecqi.healthit.gov/ecqm/ec/2026/cms0130v14,CMS130v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0131v14,CMS131v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0133v14,CMS133v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0135v14,CMS135v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0136v15,CMS136v15
https://ecqi.healthit.gov/ecqm/ec/2026/cms0137v14,CMS137v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0138v14,CMS138v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0139v14,CMS139v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0142v14,CMS142v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0143v14,CMS143v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0144v14,CMS144v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0145v14,CMS145v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0146v14,CMS146v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0149v14,CMS149v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0153v14,CMS153v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0154v14,CMS154v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0155v14,CMS155v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0156v14,CMS156v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0157v14,CMS157v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0159v14,CMS159v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0165v14,CMS165v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0177v14,CMS177v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0022v14,CMS22v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0002v15,CMS2v15
https://ecqi.healthit.gov/ecqm/ec/2026/cms0314v3,CMS314v3
https://ecqi.healthit.gov/ecqm/ec/2026/cms0347v9,CMS347v9
https://ecqi.healthit.gov/ecqm/ec/2026/cms0349v8,CMS349v8
https://ecqi.healthit.gov/ecqm/ec/2026/cms0050v14,CMS50v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0056v14,CMS56v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0645v9,CMS645v9
https://ecqi.healthit.gov/ecqm/ec/2026/cms0646v6,CMS646v6
https://ecqi.healthit.gov/ecqm/ec/2026/cms0068v15,CMS68v15
https://ecqi.healthit.gov/ecqm/ec/2026/cms0069v14,CMS69v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0074v15,CMS74v15
https://ecqi.healthit.gov/ecqm/ec/2026/cms0075v14,CMS75v14
https://ecqi.healthit.gov/ecqm/ec/2026/cms0771v7,CMS771v7
https://ecqi.healthit.gov/ecqm/ec/2026/cms0090v15,CMS90v15
https://ecqi.healthit.gov/ecqm/ec/2026/cms0951v4,CMS951v4
