Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,Is Risk Adjusted 
"Values:  Quality, QCDR ",,,,,,,** Comma delimited list  **,,"

Values:  Efficiency, Intermediate Outcome, Outcome, Patient Engagement/Experience, Patient Reported Outcome, Patient-Reported Outcome-Based Performance Measure, Process, Structure","Values: Y, N",,Enter current PY if measure is to be removed,"** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values: Allergy/ Immunology, Anesthesiology, Audiology, Cardiology, Certified Nurse Midwife, Chiropractic Medicine, Clinical Social Work, Dentistry, Dermatology, Diagnostic Radiology, Electro-physiology Cardiac Specialist, Emergency Medicine, Endocrinology, Family Medicine, Gastro-enterology, General Surgery, Geriatrics, Hospitalists, Infectious Disease, Internal Medicine, Interventional Radiology, Mental/Behavioral Health and Psychiatry, Nephrology, Neurology, Neurosurgical, Nutrition/ Dietician, Obstetrics/
Gynecology, Oncology/ Hematology, Ophthalmology/Optometry, Orthopedic Surgery, Otolaryngology, Pathology, Pediatrics, Physical Medicine, Physical Therapy/ Occupational Therapy, Plastic 
Surgery, Podiatry, Preventive Medicine, Pulmonology, Radiation Oncology, Rheumatology, Skilled Nursing Facility, Speech Language Pathology, Thoracic Surgery, Urgent Care, Urology, Vascular Surgery","Values: Y, N","Values: singlePerformanceRate, multiPerformanceRate, nonProportion, costScore","Values: weightedAverage, simpleAverage, overallStratumOnly","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","Values:  Y, N"
QCDR,,,,,UREQA7,,,,,,,2023,,,,,,,,,
QCDR,,,,,UREQA1,,,,,,,2023,,,,,,,,,
QCDR,,,,,QUANTUM31,,,,,,,2023,,,,,,,,,
QCDR,,,,,MBHR17,,,,,,,2023,,,,,,,,,
QCDR,,,,,ASPS27,,,,,,,2023,,,,,,,,,
QCDR,,,,,ASPS28,,,,,,,2023,,,,,,,,,
QCDR,,,,,ASPS29,,,,,,,2023,,,,,,,,,
QCDR,Avoidance of Post-operative Systemic Antibiotics for Office-based Closures and Reconstruction After Skin Cancer Procedures,,,,AAD16,AAD’s DataDerm™,4649789,"Percentage of procedures in patients aged 18 and older with a diagnosis of skin cancer who underwent intermediate layer or complex linear closure or reconstruction after skin cancer resection in the office-based* setting who were prescribed post-operative systemic antibiotics to be taken immediately following reconstruction surgery (inverse measure)

This measure is stratified by intermediate layer or complex linear closure or reconstructive procedures.",Process,Y ,2021,,QCDR,,Y,multiPerformanceRate,overallStratumOnly,,,,N
QCDR,Continuation of Anticoagulation Therapy in the Office-based Setting for Closure and Reconstruction After Skin Cancer Resection Procedures,,,,AAD17,AAD’s DataDerm™,4649789,"Percentage of procedures in patients, aged 18 and older with a diagnosis of skin cancer, on prescribed anticoagulation therapy, who had intermediate layer and/or complex linear closures OR reconstruction after skin cancer resection performed in the office-based setting where anticoagulant therapy was continued prior to surgery.

This measure is stratified by intermediate layer or complex linear closures AND reconstructive procedures.",Process,Y,2021,,QCDR,,N,multiPerformanceRate,overallStratumOnly,,,,N
