Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,Is Risk Adjusted 
"Values:  Quality, QCDR ",,,,,,,** Comma delimited list  **,,"

Values:  Efficiency, Intermediate Outcome, Outcome, Patient Engagement/Experience, Patient Reported Outcome, Patient-Reported Outcome-Based Performance Measure, Process, Structure","Values: Y, N",,Enter current PY if measure is to be removed,"** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values: Allergy/ Immunology, Anesthesiology, Audiology, Cardiology, Certified Nurse Midwife, Chiropractic Medicine, Clinical Social Work, Dentistry, Dermatology, Diagnostic Radiology, Electro-physiology Cardiac Specialist, Emergency Medicine, Endocrinology, Family Medicine, Gastro-enterology, General Surgery, Geriatrics, Hospitalists, Infectious Disease, Internal Medicine, Interventional Radiology, Mental/Behavioral Health and Psychiatry, Nephrology, Neurology, Neurosurgical, Nutrition/ Dietician, Obstetrics/
Gynecology, Oncology/ Hematology, Ophthalmology/Optometry, Orthopedic Surgery, Otolaryngology, Pathology, Pediatrics, Physical Medicine, Physical Therapy/ Occupational Therapy, Plastic 
Surgery, Podiatry, Preventive Medicine, Pulmonology, Radiation Oncology, Rheumatology, Skilled Nursing Facility, Speech Language Pathology, Thoracic Surgery, Urgent Care, Urology, Vascular Surgery","Values: Y, N","Values: singlePerformanceRate, multiPerformanceRate, nonProportion, costScore","Values: weightedAverage, simpleAverage, overallStratumOnly","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","Values:  Y, N"
Quality,,CMS122v11,,,001,,,,,,,,,,,,,,,,
Quality,,CMS135v11,,,005,,,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) ≤ 40% who were prescribed ACE inhibitor or ARB or ARNI therapy either within a 12-month period when seen in the outpatient setting OR at each hospital discharge,,,,,,,,,,,,,
Quality,,CMS144v11,,,007,,,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) ≤ 40% who were prescribed beta-blocker therapy either within a 12-month period when seen in the outpatient setting OR at each hospital discharge.,,,,,,,,,,,,,
Quality,,CMS128v11,,,009,,,,,,,,,,,,,,,,
Quality,,CMS143v11,,,012,,,,,,,,,,,,,,,,
Quality,,CMS142v11,,,019,,,,,,,,,,,,,,,,
Quality,,CMS154v11,,,065,,,Percentage of episodes for patients 3 months of age and older with a diagnosis of upper respiratory infection (URI) that did not result in an antibiotic order.,,,,,,,,,,,,,
Quality,,CMS146v11,,,066,,,The percentage of episodes for patients 3 years and older with a diagnosis of pharyngitis that resulted in an antibiotic order and a group A streptococcus (strep) test in the seven-day period from three days prior to the episode date through three days after the episode date.,,,,,,,,,,,,,
Quality,,CMS129v12,,NULL,102,,,,,,,,,,,,,,,,
Quality,,CMS161v11,,,107,,,Percentage of all patient visits for those patients that turn 18 or older during the measurement period in which a new or recurrent diagnosis of major depressive disorder (MDD) was identified and a suicide risk assessment was completed during the visit,,,,,,,,,,,,,
Quality,,CMS147v12,NULL,,110,,,Percentage of patients aged 6 months and older seen for a visit during the measurement period who received an influenza immunization OR who reported previous receipt of an influenza immunization.,,,,,,,,,,,,,
Quality,,CMS127v11,,,111,,,Percentage of patients 66 years of age and older who have received a pneumococcal vaccine.,,,,,,,,,,,,,
Quality,,CMS125v11,,,112,,,,,,,,,,,,,,,,
Quality,,CMS130v11,,,113,,,Percentage of patients 45-75 years of age who had appropriate screening for colorectal cancer.,,,,,,,,,,,,,
Quality,,CMS131v11,,,117,,,,,,,,"MIPS CQM, eCQM",,,,,,,,
Quality,,CMS69v11,,,128,,,Percentage of patients aged 18 years and older with a BMI documented during the current encounter or during the measurement period AND who had a follow-up plan documented if BMI was outside of normal parameters,,,,,,,,,,,,,
Quality,,CMS68v12,,,130,,,Percentage of visits for patients aged 18 years and older for which the eligible clinician attests to documenting a list of current medications using all immediate resources available on the date of the encounter.,,,,,"MIPS CQM, eCQM",,,,,,,,
Quality,,CMS2v12,,,134,,,"Percentage of patients aged 12 years and older screened for depression on the date of the encounter or up to 14 days prior to the date of the encounter using an age-appropriate standardized depression screening tool AND if positive, a follow-up plan is documented on the date of or up to two days after the date of the qualifying encounter.

",,,,,,,,,,,,,
Quality,,CMS157v11,,,143,,,,,,,,,,,,,,,,
Quality,,CMS133v11,,,191,,,,,,,,,,,,,,,,
Quality,,CMS138v11,,,226,,,Percentage of patients aged 18 years and older who were screened for tobacco use one or more times within the measurement period AND who received tobacco cessation intervention during the measurement period or in the six months prior to the measurement period if identified as a tobacco user.,,,,,,,,,,,,,
Quality,,CMS165v11,,,236,,,,,,,,,,,,,,,,
Quality,,CMS156v11,,,238,,,,,,,,,,,,,,,,
Quality,,CMS155v11,,,239,,,"Percentage of patients 3-17 years of age who had an outpatient visit with a primary care physician (PCP) or obstetrician/gynecologist (OB/GYN) and who had evidence of the following during the measurement period.

 - Percentage of patients with height, weight, and body mass index (BMI) percentile documentation
 - Percentage of patients with counseling for nutrition
 - Percentage of patients with counseling for physical activity",,,,,,,,,,,,,
Quality,,CMS117v11,,,240,,,,,,,,,,,,,,,,
Quality,,CMS149v11,,,281,,,,,,,,,,,,,,,,
Quality,,CMS137v11,,,305,,,"Percentage of patients 13 years of age and older with a new substance use disorder (SUD) episode who received the following (Two rates are reported):
a. Percentage of patients who initiated treatment, including either an intervention or medication for the treatment of SUD, within 14 days of the new SUD episode. 
b. Percentage of patients who engaged in ongoing treatment, including two additional interventions or short-term medications, or one long-term medication for the treatment of SUD, within 34 days of the initiation.",,,,,,,,,,,,,
Quality,,CMS124v11,,,309,,,,,,,,,,,,,,,,
Quality,,CMS153v11,,,310,,,,,,,,,,,,,,,,
Quality,,CMS22v11,,,317,,,,,,,,,,,,,,,,
Quality,,CMS139v11,,,318,,,,,,,,,,,,,,,,
Quality,,CMS136v12,,,366,,,"Percentage of children 6-12 years of age and newly prescribed a medication for attention-deficit/hyperactivity disorder (ADHD) who had appropriate follow-up care. Two rates are reported.  
a) Percentage of children who had one follow-up visit with a practitioner with prescribing authority during the 30-Day Initiation Phase.
b) Percentage of children who remained on ADHD medication for at least 210 days and who, in addition to the visit in the Initiation Phase, had at least two additional follow-up visits with a practitioner within 270 days (9 months) after the Initiation Phase ended.
",,,,,,,,,,,,,
Quality,,CMS159v11,,,370,,,,,,,,,,,,,,,,
Quality,,CMS50v11,,,374,,,"Percentage of patients with referrals, regardless of age, for which the referring clinician receives a report from the clinician to whom the patient was referred.",,,,,,,,,,,,,
Quality,,CMS56v11,,,376,,,Percentage of patients 19 years of age and older who received an elective primary total hip arthroplasty (THA) and completed a functional status assessment within 90 days prior to the surgery and in the 270 – 365 days after the surgery.,,,,,,,,,,,,,
Quality,,CMS90v12,,,377,,,,,,,,,,,,,,,,
Quality,,CMS75v11,,,378,,,"Percentage of children, 6 months - 20 years of age at the start of the measurement period, who have had tooth decay or cavities during the measurement period.",,,,,,,,,,,,,
Quality,,CMS74v12,,,379,,,"Percentage of children, 6 months – 20 years of age at the start of the measurement period, who have had tooth decay or cavities during the measurement period as determined by a dentist.
",,,,,,,,,,,,,
Quality,,CMS177v11,,,382,,,Percentage of patient visits for those patients aged 6 through 17 years with a diagnosis of major depressive disorder (MDD) with an assessment for suicide risk.,,,,,,,,,,,,,
Quality,,CMS347v6,,,438,,,"Percentage of the following patients - all considered at high risk of cardiovascular events - who were prescribed or were on statin therapy during the measurement period: 
*All patients who were previously diagnosed with or currently have a diagnosis of clinical atherosclerotic cardiovascular disease (ASCVD), including an ASCVD procedure; OR 
*Patients aged >= 20 years who have ever had a low-density lipoprotein cholesterol (LDL-C) level >= 190 mg/dL or were previously diagnosed with or currently have an active diagnosis of familial hypercholesterolemia; OR 
*Patients aged 40-75 years with a diagnosis of diabetes",,,,,,,,,,,,,
Quality,,CMS645v6,,,462,,,,,,,,,,,,,,,,
Quality,,CMS249v5,,,472,,,,,,,,,,,,,,,,
Quality,,CMS349v5,,,475,,,Percentage of patients aged 15-65 at the start of the measurement period who were between 15-65 years old when tested for Juman immunodeficiency virus (HIV).,,,,,,,,,,,,,
Quality,,CMS771v4,,,476,,,,,,,,,,,,,,,,
Quality,,CMS646v3,,,481,,,,,,,,,,,,,,,,
Quality,,,,,416,,,,,,,,MIPS CQM,,,,,,,,
