Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,Is Risk Adjusted 
"Values:  Quality, QCDR ",,,,,,,** Comma delimited list  **,,"

Values:  Efficiency, Intermediate Outcome, Outcome, Patient Engagement/Experience, Patient Reported Outcome, Patient-Reported Outcome-Based Performance Measure, Process, Structure","Values: Y, N",,Enter current PY if measure is to be removed,"** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values: Allergy/ Immunology, Anesthesiology, Audiology, Cardiology, Certified Nurse Midwife, Chiropractic Medicine, Clinical Social Work, Dentistry, Dermatology, Diagnostic Radiology, Electro-physiology Cardiac Specialist, Emergency Medicine, Endocrinology, Family Medicine, Gastro-enterology, General Surgery, Geriatrics, Hospitalists, Infectious Disease, Internal Medicine, Interventional Radiology, Mental/Behavioral Health and Psychiatry, Nephrology, Neurology, Neurosurgical, Nutrition/ Dietician, Obstetrics/
Gynecology, Oncology/ Hematology, Ophthalmology/Optometry, Orthopedic Surgery, Otolaryngology, Pathology, Pediatrics, Physical Medicine, Physical Therapy/ Occupational Therapy, Plastic 
Surgery, Podiatry, Preventive Medicine, Pulmonology, Radiation Oncology, Rheumatology, Skilled Nursing Facility, Speech Language Pathology, Thoracic Surgery, Urgent Care, Urology, Vascular Surgery","Values: Y, N","Values: singlePerformanceRate, multiPerformanceRate, nonProportion, costScore","Values: weightedAverage, simpleAverage, overallStratumOnly","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","Values:  Y, N"
QCDR,,,,,REGCLR7,,,,Patient-Reported Outcome-based Performance Measure,,,,,,,,,,,,
QCDR,,,,,REGCLR2,,,,Patient-Reported Outcome-based Performance Measure,,,,,,,,,,,,
QCDR,,,,,REGCLR3,,,,Patient-Reported Outcome-based Performance Measure,,,,,,,,,,,,
QCDR,,,,,MEX5,,,,Patient-Reported Outcome-based Performance Measure,,,,,,,,,,,,
QCDR,,,,,REGCLR1,,,,Patient-Reported Outcome-based Performance Measure,,,,,,,,,,,,
QCDR,,,,,REGCLR4,,,,Patient-Reported Outcome-based Performance Measure,,,,,,,,,,,,
QCDR,,,,,EPREOP30,,,,Patient-Reported Outcome-based Performance Measure,,,,,,,,,,,,
QCDR,,,,,AAAAI17,,,,Patient-Reported Outcome-based Performance Measure,,,,,,,,,,,,
QCDR,Avoidance of Acute High-Risk Prescriptions in geriatric patients at discharge,,,,ACEP63,ACEP's Clinical Emergency Data Registry (CEDR),5133825,The percentage of adults 65 years of age and older who were prescribed an Acute High-Risk Medication at discharge,Process,Y,2023,,QCDR,,Y,singlePerformanceRate,,,,,N
