Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,Is Risk Adjusted 
"Values:  Quality, QCDR ",,,,,,,** Comma delimited list  **,,"

Values:  Efficiency, Intermediate Outcome, Outcome, Patient Engagement/Experience, Patient Reported Outcome, Patient-Reported Outcome-Based Performance Measure, Process, Structure","Values: Y, N",,Enter current PY if measure is to be removed,"** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values: Allergy/ Immunology, Anesthesiology, Audiology, Cardiology, Certified Nurse Midwife, Chiropractic Medicine, Clinical Social Work, Dentistry, Dermatology, Diagnostic Radiology, Electro-physiology Cardiac Specialist, Emergency Medicine, Endocrinology, Family Medicine, Gastro-enterology, General Surgery, Geriatrics, Hospitalists, Infectious Disease, Internal Medicine, Interventional Radiology, Mental/Behavioral Health and Psychiatry, Nephrology, Neurology, Neurosurgical, Nutrition/ Dietician, Obstetrics/
Gynecology, Oncology/ Hematology, Ophthalmology/Optometry, Orthopedic Surgery, Otolaryngology, Pathology, Pediatrics, Physical Medicine, Physical Therapy/ Occupational Therapy, Plastic 
Surgery, Podiatry, Preventive Medicine, Pulmonology, Radiation Oncology, Rheumatology, Skilled Nursing Facility, Speech Language Pathology, Thoracic Surgery, Urgent Care, Urology, Vascular Surgery","Values: Y, N","Values: singlePerformanceRate, multiPerformanceRate, nonProportion, costScore","Values: weightedAverage, simpleAverage, overallStratumOnly","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","** Comma delimited list  **

Values:  Part B Claims, CSV, eCQM, CMS WI, Admin Claims, MIPS CQM, QCDR","Values:  Y, N"
QCDR,,,,,ABG40,ABG QCDR,"5551268, 6775913, 7418330",,,,,,,,,,,,,,
QCDR,,,,,ABG41,ABG QCDR,"6169123, 5551268, 6775913, 9181695, 7418330, 7746687",,,,,,,,,,,,,,
QCDR,,,,,ABG42,ABG QCDR,"5551268, 6775913, 9181695, 7418330",,,,,,,,,,,,,,
QCDR,,,,,ABG43,ABG QCDR,"6169123, 5551268, 6775913, 9181695, 7418330",,,,,,,,,,,,,,
QCDR,,,,,AQI18,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"5551268, 6775913, 6169123, 7418330",,,,,,,,,,,,,,
QCDR,,,,,AQI48,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"5551268, 6775913, 7746687, 6169123, 6704504, 4757099, 9181695, 7418330, 3471690",,,,,,,,,,,,,,
QCDR,,,,,AQI49,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"5551268, 6169123, 7418330",,,,,,,,,,,,,,
QCDR,,,,,AQI56,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"6169123, 5551268, 6775913, 7746687, 6704504, 9181695, 7418330",,,,,,,,,,,,,,
QCDR,,,,,AQI65,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"5551268, 6775913, 6169123, 7418330",,,,,,,,,,,,,,
QCDR,,,,,AQI68,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"5551268, 6775913, 6169123, 9181695, 7418330, 7746687",,,,,,,,,,,,,,
QCDR,,,,,AQI69,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"5551268, 6775913, 4757099, 7746687, 6169123, 6704504, 9181695, 7418330, 3471690",,,,,,,,,,,,,,
QCDR,,,,,AQI71,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"5551268, 6775913, 6169123, 9181695, 7418330",,,,,,,,,,,,,,
QCDR,,,,,AQI72,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"5551268, 6775913, 4757099, 6169123, 6704504, 9181695, 7418330, 7746687",,,,,,,,,,,,,,
QCDR,,,,,AQI73,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR),"5551268, 6775913, 4757099, 7746687, 6169123, 6704504, 9181695, 7418330",,,,,,,,,,,,,,
QCDR,,,,,EPREOP30,Anesthesia Quality Registry (AQR QCDR),"6775913, 7418330",,,,,,,,,,,,,,
QCDR,,,,,EPREOP31,Anesthesia Quality Registry (AQR QCDR),"6169123, 6775913, 7418330",,,,,,,,,,,,,,
QCDR,,,,,QMM21,MSN Healthcare Solutions QCDR II,7418330,,,,,,,,,,,,,,
QCDR,,,,,QMM22,MSN Healthcare Solutions QCDR II,7418330,,,,,,,,,,,,,,
QCDR,,,,,QMM25,MSN Healthcare Solutions QCDR II,7418330,,,,,,,,,,,,,,
