default,ACI_PHCDRR_5,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Clinical Data Registry Reporting.pdf
default,ACI_HIE_3,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Clinical Information Reconciliation.pdf
default,ACI_EP_1,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_e-Prescribing.pdf
default,ACI_PHCDRR_3,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Electronic Case Reporting.pdf
default,ACI_PHCDRR_1,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Immunization Registry Reporting.pdf
default,ACI_CCTPE_3,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Patient-Generated Health Data.pdf
default,ACI_PEA_2,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Patient-Specific Education.pdf
default,ACI_PEA_1,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Provide Patient Access.pdf
default,ACI_PHCDRR_4,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Public Health Registry Reporting.pdf
default,ACI_HIE_2,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Request-Accept Summary of Care.pdf
default,ACI_CCTPE_2,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Secure Messaging.pdf
default,ACI_PPHI_1,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Security Risk Analysis.pdf
default,ACI_HIE_1,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Send a Summary of Care.pdf
default,ACI_PHCDRR_2,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_Syndromic Surveillance Reporting.pdf
default,ACI_CCTPE_1,https://qpp.cms.gov/docs/aci_specifications/Measure Specifications/MIPS ACI Measure_View Download or Transmit (VDT).pdf
