measureId,stratumName,description
AAD16,resection,Rate 1: Strata 1: Intermediate layer or complex linear closures after skin cancer resection
AAD16,reconstruction,Rate 2: Strata 2: Reconstruction after skin cancer resection
AAD16,overall,"Rate 3: Strata 3: Strata 1 + Strata 2; Calculate as (numerator 1 + numerator 2 )/(denominator 1 + denominator 2), not the average of the performance rates"
AAD17,resection,Rate 1: Strata 1: Intermediate layer or complex linear closures after skin cancer resection
AAD17,reconstruction,Rate 2: Strata 2: Reconstruction after skin cancer resection
AAD17,overall,"Rate 3: Strata 3: Strata 1 + Strata 2; Calculate as (numerator 1 + numerator 2 )/(denominator 1 + denominator 2), not the average of the performance rates"
AAD18,resection,Rate 1: Strata 1: Intermediate layer or complex linear closures after skin cancer resection
AAD18,reconstruction,Rate 2: Strata 2: Reconstruction after skin cancer resection
AAD18,overall,"Rate 3: Strata 3: Strata 1 + Strata 2; Calculate as (numerator 1 + numerator 2 )/(denominator 1 + denominator 2), not the average of the performance rates"
ACRAD34,abdomen,Rate 1: Percent of CT Abdomen-pelvis exams with contrast (single phase scan) for which Dose Length Product is at or below the size-specific diagnostic reference level
ACRAD34,chest,Rate 2: Percent of CT Chest exams without contrast (single phase scan) for which Dose Length Product is at or below the size-specific diagnostic reference level
ACRAD34,head,Rate 3: Percent of CT Head/brain exams without contrast (single phase scan) for which Dose Length Product is at or below the size-specific diagnostic reference level
AJRR12,hip,Rate 1: represents total hip arthroplasty
AJRR12,knee,Rate 2: represents total knee arthroplasty.
AJRR13,neckpain,"Rate 1: Percentage of denominator patients who showed a statistically significant improvement in comparison to initial assessment, measured by minimum clinically important difference (MCID), in neck pain."
AJRR13,backpain,"Rate 2: Percentage of denominator patients who showed a statistically significant improvement in comparison to initial assessment, measured by minimum clinically important difference (MCID), in back pain."
AJRR13,legpain,"Rate 3: Percentage of denominator patients who showed a statistically significant improvement in comparison to initial assessment, measured by minimum clinically important difference (MCID) in leg pain."
AJRR15,cervicalspine,Rate 1: All patients experiencing at least one complication within 90 days postoperative cervical spine surgery.
AJRR15,lumbarspine,Rate 2: All patients  experiencing at least one complication within 90 days postoperative  lumbar spine surgery.
AJRR7,hip,Rate 1: represents total hip arthroplasty
AJRR7,knee,Rate 2: represents total knee arthroplasty.
AJRR9,hip,Rate 1: represents total hip arthroplasty
AJRR9,knee,Rate 2: represents total knee arthroplasty.
AQI48,surveyed,"Rate 1: AQI48a, percentage of surgical patients who receive a survey of their experience with anesthesia care."
AQI48,overall,"Rate 2: AQI48b, percentage of surgical patients who report a positive experience with anesthesia care."
AQI71,overall,"Rate 1: Average of the performance rates of parts A, B, C and D. (Rates 2, 3, 4 & 5)"
AQI71,testedPrior,"Rate 2: Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery whose blood glucose level is tested prior to the start of anesthesia"
AQI71,insulinPerioperative,"Rate 3: Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who experienced a blood glucose level greater than 180 mg/dL (10.0 mmol/L) who received insulin prior to anesthesia end time"
AQI71,"followupTest","Rate 4: Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who received insulin perioperatively and who received a follow-up blood glucose level check following the administration of insulin and prior to discharge"
AQI71,glucoseEducation,"Rate 5: Percentage of patients, aged 18 years and older, with a current diagnosis of diabetes mellitus receiving anesthesia services for office-based or ambulatory surgery who experienced a blood glucose level greater than 180 mg/dL (10.0 mmol/L) who received education on managing their glucose in the postoperative period prior to discharge"
AQI77,screened,Rate 1: Patients who are screened for risk of opioid use disorder using a standardized screening tool.
AQI77,screenPositive,Rate 2: Patients who screen positive for opioid use disorder and are referred to a treatment program according to facility policies and procedures.
AQI78,screened,Rate 1: Patients received a cognitive screening using a validated tool within 90 days of their elective surgical procedure.
