link,measureId
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-e-Prescribing.pdf,PI_EP_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Query-of-PDMP.pdf,PI_EP_2
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Query-of-PDMP.pdf,PI_EP_2_EX_1 
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Query-of-PDMP.pdf,PI_EP_2_EX_2
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting Interoperability-Measure-Electronic-Referral-Loops-by-Sending-Health-Info.pdf,PI_HIE_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting Interoperability-Measure-E-Referral Loops-by-Receiving-Reconciling-Health-Info.pdf,PI_HIE_4
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-HIE-Bi-Directional-Exchange.pdf,PI_HIE_5
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Enabling-Exchange-Under-TEFCA.pdf,PI_HIE_6
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting Interoperability-Measure-E-Referral Loops-by-Receiving-Reconciling-Health-Info.pdf,PI_LVITC_2
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting Interoperability-Measure-Electronic-Referral-Loops-by-Sending-Health-Info.pdf  ,PI_LVOTC_1 
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-e-Prescribing.pdf,PI_LVPP_1 
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Provide-Patients-E-Access-to-Their-Health-Info.pdf,PI_PEA_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Immunization-Registry-Reporting.pdf,PI_PHCDRR_1
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Immunization-Registry-Reporting.pdf,PI_PHCDRR_1_EX_1 
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Immunization-Registry-Reporting.pdf,PI_PHCDRR_1_EX_2 
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Immunization-Registry-Reporting.pdf,PI_PHCDRR_1_EX_3
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Immunization-Registry-Reporting.pdf,PI_PHCDRR_1_PRE
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Immunization-Registry-Reporting.pdf,PI_PHCDRR_1_PROD 
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting Interoperability-Measure-Syndromic-Surveillance-Reporting.pdf,PI_PHCDRR_2
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting Interoperability-Measure-Syndromic-Surveillance-Reporting.pdf,PI_PHCDRR_2_PRE 
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting Interoperability-Measure-Syndromic-Surveillance-Reporting.pdf,PI_PHCDRR_2_PROD 
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Electronic-Case-Reporting.pdf,PI_PHCDRR_3
https://qpp.cms.gov/docs/pi_specifications/Measure Specifications/2025-MIPS-Promoting-Interoperability-Measure-Electronic-Case-Reporting.pdf,PI_PHCDRR_3_EX_1 
