link,eMeasureId
https://ecqi.healthit.gov/ecqm/ec/2025/cms1056v2,CMS1056v2
https://ecqi.healthit.gov/ecqm/ec/2025/cms1157v1,CMS1157v1
https://ecqi.healthit.gov/ecqm/ec/2025/cms0117v13,CMS117v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms1188v2,CMS1188v2
https://ecqi.healthit.gov/ecqm/ec/2025/cms0122v13,CMS122v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0124v13,CMS124v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0125v13,CMS125v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0128v13,CMS128v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0129v14,CMS129v14
https://ecqi.healthit.gov/ecqm/ec/2025/cms0130v13,CMS130v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0131v13,CMS131v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0133v13,CMS133v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0135v13,CMS135v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0136v14,CMS136v14
https://ecqi.healthit.gov/ecqm/ec/2025/cms0137v13,CMS137v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0138v13,CMS138v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0139v13,CMS139v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0142v13,CMS142v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0143v13,CMS143v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0144v13,CMS144v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0145v13,CMS145v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0146v13,CMS146v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0149v13,CMS149v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0153v13,CMS153v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0154v13,CMS154v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0155v13,CMS155v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0156v13,CMS156v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0157v13,CMS157v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0159v13,CMS159v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0165v13,CMS165v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0177v13,CMS177v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0022v13,CMS22v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0002v14,CMS2v14
https://ecqi.healthit.gov/ecqm/ec/2025/cms0314v2,CMS314v2
https://ecqi.healthit.gov/ecqm/ec/2025/cms0347v8,CMS347v8
https://ecqi.healthit.gov/ecqm/ec/2025/cms0349v7,CMS349v7
https://ecqi.healthit.gov/ecqm/ec/2025/cms0050v13,CMS50v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0056v13,CMS56v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0645v8,CMS645v8
https://ecqi.healthit.gov/ecqm/ec/2025/cms0646v5,CMS646v5
https://ecqi.healthit.gov/ecqm/ec/2025/cms0068v14,CMS68v14
https://ecqi.healthit.gov/ecqm/ec/2025/cms0069v13,CMS69v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0074v14,CMS74v14
https://ecqi.healthit.gov/ecqm/ec/2025/cms0075v13,CMS75v13
https://ecqi.healthit.gov/ecqm/ec/2025/cms0771v6,CMS771v6
https://ecqi.healthit.gov/ecqm/ec/2025/cms0090v14,CMS90v14
https://ecqi.healthit.gov/ecqm/ec/2025/cms0951v3,CMS951v3
